report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,year,month,month_name,day,day_of_week,occurrence_hour,time_period,reporting_delay_days,age_group,case_resolution_days
1,2020-01-02 00:00:00,2020-01-01 00:00:00,01-01-2020 01:11,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No,,2020,1,January,1,Wednesday,1,Night,1.0,Minor,
2,2020-01-01 19:00:00,2020-01-01 01:00:00,01-01-2020 06:26,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,,2020,1,January,1,Wednesday,6,Morning,0.75,Adult,
3,2020-01-02 05:00:00,2020-01-01 02:00:00,01-01-2020 14:30,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,,2020,1,January,1,Wednesday,14,Afternoon,1.125,Adult,
4,2020-01-01 05:00:00,2020-01-01 03:00:00,01-01-2020 14:46,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,2020-04-29 05:00:00,2020,1,January,1,Wednesday,14,Afternoon,0.08333333333333333,Adult,119.08333333333333
5,2020-01-01 21:00:00,2020-01-01 04:00:00,01-01-2020 16:51,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,2020-01-08 21:00:00,2020,1,January,1,Wednesday,16,Afternoon,0.7083333333333334,Young Adult,7.708333333333333
6,2020-01-02 03:00:00,2020-01-01 05:00:00,01-01-2020 17:09,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,2020-03-30 03:00:00,2020,1,January,1,Wednesday,17,Evening,0.9166666666666666,Minor,88.91666666666667
7,2020-01-01 16:00:00,2020-01-01 06:00:00,01-01-2020 14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,2020-03-24 16:00:00,2020,1,January,1,Wednesday,14,Afternoon,0.4166666666666667,Senior,83.41666666666667
8,2020-01-02 10:00:00,2020-01-01 07:00:00,02-01-2020 06:33,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,,2020,1,January,1,Wednesday,6,Morning,1.125,Senior,
9,2020-01-04 03:00:00,2020-01-01 08:00:00,02-01-2020 06:34,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,,2020,1,January,1,Wednesday,6,Morning,2.7916666666666665,Adult,
10,2020-01-03 07:00:00,2020-01-01 09:00:00,01-01-2020 17:50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,,2020,1,January,1,Wednesday,17,Evening,1.9166666666666667,Young Adult,
11,2020-01-02 13:00:00,2020-01-01 10:00:00,01-01-2020 19:42,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,2020-02-01 13:00:00,2020,1,January,1,Wednesday,19,Evening,1.125,Senior,31.125
12,2020-01-03 09:00:00,2020-01-01 11:00:00,01-01-2020 22:16,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No,,2020,1,January,1,Wednesday,22,Night,1.9166666666666667,Young Adult,
13,2020-01-01 16:00:00,2020-01-01 12:00:00,01-01-2020 23:14,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,2020-02-29 16:00:00,2020,1,January,1,Wednesday,23,Night,0.16666666666666666,Adult,59.166666666666664
14,2020-01-02 22:00:00,2020-01-01 13:00:00,01-01-2020 17:46,Mumbai,436,ASSAULT,32,X,Unknown,Violent Crime,18,No,,2020,1,January,1,Wednesday,17,Evening,1.375,Adult,
15,2020-01-02 00:00:00,2020-01-01 14:00:00,01-01-2020 22:28,Bangalore,266,SEXUAL ASSAULT,77,F,Unknown,Violent Crime,19,No,,2020,1,January,1,Wednesday,22,Night,0.4166666666666667,Senior,
